Date,Burrard at Cornwall,Canada Line Bridge at West Kent,Comox at Thurlow,Dunsmuir Viaduct,East 10th at Clark,Hornby and Robson,Lions Gate Bridge at Spirit Trail,Ontario and 11th,Point Grey at Stephens,Point Grey at Volunteer Park,Seawall 2nd Beach Pool,Seawall at Creekside Community Centre,Seawall at David Lam Park,Seawall at Harbour Green Park,Seawall at HMS Discovery,Seawall at Science World,Smithe at Expo,Stephens at Point Grey,Union at Hawks
"August 1, 2018",8584,907,1339,3494,2739,3599,2631,2527,3347,4235,5165,0,5618,3613,5308,8620,1479,1043,5336
"August 2, 2018",6883,885,1023,3125,2511,3040,2274,2261,2362,3048,5044,0,4096,3212,5175,7531,1402,841,4753
"August 3, 2018",5504,683,871,2508,2087,2574,1672,1949,1950,2346,4692,0,3627,2850,4807,6558,1191,619,3711
"August 4, 2018",7213,1028,1016,1476,1889,1940,2748,1881,4071,4645,7988,0,7257,4592,7986,8257,651,835,3572
"August 5, 2018",6939,849,936,1420,1453,1681,2260,1598,3680,4420,6545,0,6953,4380,6561,7539,631,849,3297
"August 6, 2018",5908,987,793,1191,1420,1578,2191,1482,4209,5103,8253,0,6561,4404,7963,7247,533,1017,2886
"August 7, 2018",7571,802,1078,3084,2521,3198,2409,2397,2991,3721,5780,0,5058,3451,5486,8075,1393,951,4785
"August 8, 2018",7694,856,1100,3160,2632,3129,2471,2512,3165,4145,5482,0,4848,3516,5308,8334,1432,1075,4884
"August 9, 2018",7545,864,1115,3066,2497,3138,2339,2351,3090,3902,5251,0,4835,3321,5253,7951,1370,999,4804
"August 10, 2018",6779,695,1035,2594,2283,2917,1983,2039,2668,3347,5904,0,4611,3720,5875,7403,1229,844,4199
"August 11, 2018",4290,697,673,989,1643,1310,1360,1294,1988,2373,4377,0,3194,2428,4381,4693,533,526,2341
"August 12, 2018",4859,728,690,1002,1436,1322,2151,1127,2444,2894,5638,0,4232,2931,5781,5215,582,590,2287
"August 13, 2018",6530,757,996,2906,2405,2929,2151,2115,2163,2785,4817,0,3794,2929,4974,7081,1290,748,4304
"August 14, 2018",6972,736,1113,3131,2503,3123,2074,2181,2348,2958,4913,0,4327,2910,4635,7504,1311,818,4654
"August 15, 2018",6554,723,1010,3125,2559,3121,1950,2360,2357,3066,4612,0,3977,2825,4634,7330,1797,880,4841
"August 16, 2018",6915,845,1036,3006,2485,3002,2072,2388,2533,3166,4907,0,4510,3181,5021,7986,1316,862,4700
"August 17, 2018",6310,741,1018,2704,2239,2807,1914,2063,2439,3081,5567,0,4689,3380,5550,7398,1173,714,4314
"August 18, 2018",5400,972,722,1280,1728,1558,2096,1717,2537,3101,5869,0,4924,3374,6144,6479,608,711,4713
"August 19, 2018",4714,806,711,1030,1461,1363,1773,1392,2249,2822,6054,0,4749,3279,6142,5585,484,632,2370
"August 20, 2018",5135,571,847,2449,1961,2482,1396,1771,1671,2096,3886,0,3044,2430,4073,5964,1116,557,3701
"August 21, 2018",5786,564,895,2628,2051,2722,1731,1911,1979,2530,4175,0,3466,2498,4013,6233,1406,626,3844
"August 22, 2018",5464,561,915,2636,2037,2624,1617,1896,1681,2144,3471,0,2847,2288,3611,5978,1192,618,3823
"August 23, 2018",4833,565,867,2401,1831,2446,1375,1702,1315,1796,2640,0,2416,1862,2767,5242,1085,583,3442
"August 24, 2018",5350,642,867,2266,1895,2488,1625,1818,1924,2399,4365,0,3476,2657,4380,6198,1046,641,3635
"August 25, 2018",1794,303,314,576,719,712,595,604,537,689,1138,0,936,656,1217,1801,630,176,1137
"August 26, 2018",3202,443,553,764,973,952,1073,888,1556,1892,3301,0,2490,1631,3347,3421,354,505,1569
"August 27, 2018",6565,813,929,2924,2376,2894,2434,2331,2656,3351,5753,0,4923,3257,5677,7912,1258,866,4487
"August 28, 2018",6937,867,998,3201,2505,2929,1910,2297,2600,3400,5052,0,4543,2998,4754,7786,1277,957,4830
"August 29, 2018",4761,598,790,2534,2013,2278,977,1900,1486,2001,2233,0,2401,1579,2261,5330,1096,595,3811
"August 30, 2018",5829,724,906,2756,2151,2551,1413,2050,1959,2579,3735,0,3422,2520,3799,6481,1201,726,4320
"August 31, 2018",5186,664,901,2480,2009,2382,1433,1878,1901,2402,3876,0,3295,2565,3976,6170,1065,641,3829
"September 1, 2018",4775,841,694,1178,1526,1450,1596,1445,2393,2857,6051,0,4473,3115,6048,5828,599,561,2878
"September 2, 2018",5170,982,803,1096,1416,1442,1733,1372,3079,3713,6710,0,5903,3768,6564,7077,513,755,2766
"September 3, 2018",5358,999,702,1097,1471,1375,1581,1483,3337,4058,6247,0,5953,3267,6083,6956,538,877,2914
