Date,Year,Month,Route,Count
2018-08-01,2018,Aug,Burrard at Cornwall,8584.0
2018-08-01,2018,Aug,Canada Line Bridge at West Kent,907.0
2018-08-01,2018,Aug,Comox at Thurlow,1339.0
2018-08-01,2018,Aug,Dunsmuir Viaduct,3494.0
2018-08-01,2018,Aug,East 10th at Clark,2739.0
2018-08-01,2018,Aug,Hornby and Robson,3599.0
2018-08-01,2018,Aug,Lions Gate Bridge at Spirit Trail,2631.0
2018-08-01,2018,Aug,Ontario and 11th,2527.0
2018-08-01,2018,Aug,Point Grey at Stephens,3347.0
2018-08-01,2018,Aug,Point Grey at Volunteer Park,4235.0
2018-08-01,2018,Aug,Seawall 2nd Beach Pool,5165.0
2018-08-01,2018,Aug,Seawall at David Lam Park,5618.0
2018-08-01,2018,Aug,Seawall at HMS Discovery,5308.0
2018-08-01,2018,Aug,Seawall at Harbour Green Park,3613.0
2018-08-01,2018,Aug,Seawall at Science World,8620.0
2018-08-01,2018,Aug,Smithe at Expo,1479.0
2018-08-01,2018,Aug,Stephens at Point Grey,1043.0
2018-08-01,2018,Aug,Union at Hawks,5336.0
2018-08-02,2018,Aug,Burrard at Cornwall,6883.0
2018-08-02,2018,Aug,Canada Line Bridge at West Kent,885.0
2018-08-02,2018,Aug,Comox at Thurlow,1023.0
2018-08-02,2018,Aug,Dunsmuir Viaduct,3125.0
2018-08-02,2018,Aug,East 10th at Clark,2511.0
2018-08-02,2018,Aug,Hornby and Robson,3040.0
2018-08-02,2018,Aug,Lions Gate Bridge at Spirit Trail,2274.0
2018-08-02,2018,Aug,Ontario and 11th,2261.0
2018-08-02,2018,Aug,Point Grey at Stephens,2362.0
2018-08-02,2018,Aug,Point Grey at Volunteer Park,3048.0
2018-08-02,2018,Aug,Seawall 2nd Beach Pool,5044.0
2018-08-02,2018,Aug,Seawall at David Lam Park,4096.0
2018-08-02,2018,Aug,Seawall at HMS Discovery,5175.0
2018-08-02,2018,Aug,Seawall at Harbour Green Park,3212.0
2018-08-02,2018,Aug,Seawall at Science World,7531.0
2018-08-02,2018,Aug,Smithe at Expo,1402.0
2018-08-02,2018,Aug,Stephens at Point Grey,841.0
2018-08-02,2018,Aug,Union at Hawks,4753.0
2018-08-03,2018,Aug,Burrard at Cornwall,5504.0
2018-08-03,2018,Aug,Canada Line Bridge at West Kent,683.0
2018-08-03,2018,Aug,Comox at Thurlow,871.0
2018-08-03,2018,Aug,Dunsmuir Viaduct,2508.0
2018-08-03,2018,Aug,East 10th at Clark,2087.0
2018-08-03,2018,Aug,Hornby and Robson,2574.0
2018-08-03,2018,Aug,Lions Gate Bridge at Spirit Trail,1672.0
2018-08-03,2018,Aug,Ontario and 11th,1949.0
2018-08-03,2018,Aug,Point Grey at Stephens,1950.0
2018-08-03,2018,Aug,Point Grey at Volunteer Park,2346.0
2018-08-03,2018,Aug,Seawall 2nd Beach Pool,4692.0
2018-08-03,2018,Aug,Seawall at David Lam Park,3627.0
